0:0:0:0:0:0:0:1 - - [04/Nov/2022:16:52:14 +0900] "GET /js/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2022:16:52:14 +0900] "GET /reservation/img/bg-img/16.jpg HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [04/Nov/2022:16:52:14 +0900] "GET /js/roberto.bundle.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2022:16:52:14 +0900] "GET /js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2022:16:52:14 +0900] "GET /reservation/img/core-img/p1.png HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [04/Nov/2022:16:52:14 +0900] "GET /js/default-assets/active.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2022:16:52:14 +0900] "GET /reservation/img/core-img/p3.png HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [04/Nov/2022:16:52:14 +0900] "GET /reservation/img/core-img/p2.png HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [04/Nov/2022:16:52:14 +0900] "GET /reservation/img/core-img/p5.png HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [04/Nov/2022:16:52:14 +0900] "GET /reservation/img/core-img/p4.png HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [04/Nov/2022:17:30:41 +0900] "GET /css/default-assets/classy-nav.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2022:17:30:41 +0900] "GET /css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2022:17:30:41 +0900] "GET /css/nice-select.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2022:17:30:41 +0900] "GET /css/bootstrap.min.css HTTP/1.1" 304 -
